"id","extralabel","name","latitude","longitude","Netherlands"
"NLDV","Station","Deventer","52.257","6.1613","Netherlands"
"NLDVAW","Junction","Duivendrecht Aansluiting West","52.3252","4.916","Netherlands"
"NLDZ","SmallStation","Delfzijl","53.3339","6.9239","Netherlands"
"NLEDN","SmallStation","Eijsden","50.772","5.71","Netherlands"
"NLEEM","SmallStation","Eemshaven","53.4588","6.83","Netherlands"
"NLEEMIA","Junction","Eemshaven Industrie Aansl","53.4497","6.7938","Netherlands"
"NLEHV","Station","Eindhoven","51.443","5.4798","Netherlands"
"NLEKZ","SmallStation","Enkhuizen","52.6993","5.2857","Netherlands"
"NLEMN","SmallStation","Emmen","52.7904","6.8997","Netherlands"
"NLEMNZ","SmallStation","Emmen Zuid","52.7485","6.8741","Netherlands"
"NLERP","Junction","Europoort","51.911","4.1966","Netherlands"
"NLERPW","Junction","Europoort West","51.9382","4.1203","Netherlands"
"NLES","Station","Enschede","52.2225","6.8897","Netherlands"
"NLFN","SmallStation","Franeker","53.1824","5.5502","Netherlands"
"NLFWD","SmallStation","Feanwalden","53.235","5.9896","Netherlands"
"NLGBG","SmallStation","Gramsbergen","52.6102","6.6767","Netherlands"
"NLGD","Station","Gouda","52.0174","4.7063","Netherlands"
"NLGDG","Station","Gouda Goverwelle","52.0151","4.741","Netherlands"
"NLGDM","Station","Geldermalsen","51.8827","5.2714","Netherlands"
"NLGKA","Switch","Grijpskerk aansl.","53.2557","6.3337","Netherlands"
"NLGKGF","FreightTerminal","Gekkengraaf","51.4137","6.0687","Netherlands"
"NLGN","Station","Groningen","53.2106","6.5642","Netherlands"
"NLGND","SmallStation","Hardingxveld-Giessendam","51.8304","4.8355","Netherlands"
"NLGNL","ShuntingYard","Groningen Losplaats","53.2006","6.5944","Netherlands"
"NLGNN","SmallStation","Groningen Noord","53.2299","6.5564","Netherlands"
"NLGO","SmallStation","Goor","52.2303","6.5847","Netherlands"
"NLGPDA","Junction","Gaasperdammerweg aansl. (Amsterdam)","52.3299","5.0034","Netherlands"
"NLGR","SmallStation","Gorinchem","51.8338","4.9677","Netherlands"
"NLGS","SmallStation","Goes","51.4982","3.8904","Netherlands"
"NLGV","Station","Den Haag HS","52.0689","4.3209","Netherlands"
"NLGVC","PassengerTerminal","Den Haag Centraal","52.0809","4.3245","Netherlands"
"NLGVM","Station","Den Haag Mariahoeve","52.0909","4.3698","Netherlands"
"NLGZ","SmallStation","Gilze-Rijen","51.5837","4.9263","Netherlands"
"NLHA","Switch","'s Heer Arendskerke","51.4997","3.8209","Netherlands"
"NLHAR","Junction","De Haar aansl.","52.0516","5.4698","Netherlands"
"NLHD","SmallStation","Harderwijk","52.3376","5.6203","Netherlands"
"NLHDB","SmallStation","Hardenberg","52.5711","6.6268","Netherlands"
"NLHDE","Station","'t Harde","52.409","5.8928","Netherlands"
"NLHDG","SmallStation","Hurdegaryp","53.219","5.9349","Netherlands"
"NLHDL","Switch","Hedel","51.7475","5.2734","Netherlands"
"NLHDR","Station","Den Helder","52.955","4.7611","Netherlands"
"NLHDRZ","SmallStation","Den Helder Zuid","52.9326","4.7642","Netherlands"
"NLHGKA","Switch","Hoogkerk aansl.","53.2125","6.5006","Netherlands"
"NLHGL","Station","Hengelo","52.2617","6.7938","Netherlands"
"NLHGV","Station","Hoogeveen","52.7336","6.4728","Netherlands"
"NLHKS","SmallStation","Hoogkarspel","52.6908","5.1848","Netherlands"
"NLHLG","SmallStation","Harlingen","53.1704","5.425","Netherlands"
