"id","extralabel","name","latitude","longitude","country"
"LUBc-N ","Junction","Berchem Nord","49.5525","6.1418","Luxembourg"
"LUBtr  ","Station","Bertrange-Strassen","49.6125","6.0608","Luxembourg"
"LUBz   ","PassengerStop","Betzdorf","49.6888","6.3486","Luxembourg"
"LUD    ","Station","Differdange (gare)","49.5224","5.8916","Luxembourg"
"LUF-S4 ","Junction","Fentange Sud (ligne 4)","49.5607","6.1457","Luxembourg"
"LUNk   ","PassengerStop","Niederkorn","49.5372","5.8944","Luxembourg"
"LUPa   ","PassengerStop","Paradiso","49.96537","5.952986","Luxembourg"
"LUP    ","Station","Pétange","49.5541","5.8786","Luxembourg"
"LURu   ","Station","Rumelange","49.46","6.032504","Luxembourg"
"LUSr   ","PassengerStop","Schieren","49.8291","6.095","Luxembourg"
"LUSw   ","PassengerStop","Schouweiler","49.5734","5.9598","Luxembourg"
"LUTg   ","Station","Tétange","49.4774","6.0348","Luxembourg"
"LUTv   ","Station","Troisvierges","50.11924","5.9909","Luxembourg"
"LUVm   ","PassengerStop","Volmerange-les-Mines","49.4567","6.079","Luxembourg"
"LUW    ","Station","Wasserbillig","49.7127","6.4991","Luxembourg"
"EU00009","BorderPoint","Wasserbillig frontière","49.7138","6.5066","Luxembourg"
"LUWz   ","Station","Wiltz","49.9666","5.9283","Luxembourg"
"LUMb   ","PassengerStop","Munsbach","49.6305","6.2683","Luxembourg"
"EU00097","BorderPoint","Rodange frontière B Aub","49.5518","5.825","Luxembourg"
"LUP130 ","Junction","Déviation vers 6h","49.5506","5.8372","Luxembourg"
"LUxx2  ","PassengerStop","Merkholtz Poste de block","49.62556","6.02","Luxembourg"
"EU00095","BorderPoint","Troisvierges frontière","50.173","5.9653","Luxembourg"
"LUCb   ","PassengerStop","Colmar-Berg","49.81487","6.101789","Luxembourg"
